ano,serie,raca_cor,disciplina,value,escola_publica,escola_publica_contagem,regiao,regiao_contagem,sexo,sexo_contagem,escolaridade_agrupado,escolaridade_mae,escolaridade_pai,responsaveis_comparecem_reuniao_pais,quantidade_agrupado,possui_casa_dormitorio,possui_computador,possui_geladeira,possui_tv,possui_automovel,possui_casa_banheiro,possui_freezer,possui_maquina_lavar_roupa,evasao_escolar_ate_final_ano,rede,reprovacao,possui_trabalho_agrupado,possui_trabalho,tempo_lazer_agrupado,tempo_lazer,trabalho_domestico_agrupado,tempo_trabalho_domestico,desempenho_aluno,desempenho_aluno_contagem
2013,5,Preta,MT,A,Não,27846,Norte,204790,Masculino,785588,EB incompleta,239528,227220.0,949332,Não,18800,656876,40164,86974,862436,31452,1173068,361732,1428892,1173194,1108932,Não,1312112,Sim,98128,Não,676056,Avançado,94299
2013,5,Preta,MT,B,Sim,1609408,Nordeste,477618,Feminino,795178,EB incompleta,235656,162524.0,482382,Sim,217166,678182,1306756,621876,554390,1116788,357342,1035294,93256,142346,309612,Sim,224430,Não,490996,Não,355664,Proficiente,221939
2013,5,Preta,MT,C,-,0,Centro-Oeste,645330,-,0,EB incompleta,175160,155846.0,128270,Sim,642010,173812,195824,518330,131400,332904,35560,169248,26014,217442,113510,0,0,Não,354634,Não,109328,Básico,298072
2013,5,Preta,MT,D,-,0,Sudeste,151804,-,0,EB completa,226912,161526.0,0,Sim,497696,50168,27634,217040,33134,68626,10470,22242,0,0,0,0,0,Não,598460,Não,108644,Insuficiente,200896
2013,5,Preta,MT,E,-,0,Sul,157712,-,0,EB completa,174072,153612.0,0,Sim,185888,20676,7466,92494,17234,21706,6134,6568,0,0,0,0,0,0,0,Sim,287706,-,0
2013,5,Preta,MT,F,-,0,-,0,-,0,ES completo,531748,705120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,9,Amarela,LP,*,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,9,Amarela,LP,.,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,9,Amarela,LP,A,Não,3874,Norte,12464,Masculino,51412,EB incompleta,19352,17724.0,73768,Não,1150,41424,2036,3176,69090,1790,105726,36184,125964,114370,90210,Não,20728,Sim,23342,Não,44020,Avançado,2761
2013,9,Amarela,LP,B,Sim,134018,Nordeste,45070,Feminino,84928,EB incompleta,24158,18306.0,47474,Sim,10480,63744,113296,48016,50106,88108,26766,88652,6896,8014,31106,Sim,112194,Não,29716,Não,42522,Proficiente,16277
2013,9,Amarela,LP,C,-,0,Centro-Oeste,52758,-,0,EB incompleta,19576,17782.0,12892,Sim,54358,21326,16758,49204,13074,35296,2694,10788,1628,11148,13148,0,0,Não,23064,Não,14024,Básico,35711
2013,9,Amarela,LP,D,-,0,Sudeste,13214,-,0,EB completa,36012,26788.0,0,Sim,51230,6828,1892,22042,3006,8002,650,860,0,0,0,0,0,Não,51264,Não,12122,Insuficiente,13874
2013,9,Amarela,LP,E,-,0,Sul,14386,-,0,EB completa,12642,9616.0,0,Sim,17928,3296,676,9564,1542,2974,548,360,0,0,0,0,0,0,7326,Sim,20246,-,0
2013,9,Amarela,LP,F,-,0,-,0,-,0,ES completo,20426,38066.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,9,Branca,LP,*,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,9,Branca,LP,.,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,9,Branca,LP,A,Não,39124,Norte,56720,Masculino,588456,EB incompleta,141100,136032.0,733786,Não,5116,260192,11326,22750,435292,8398,913782,192812,1181320,1082196,919806,Não,192008,Sim,186786,Não,435522,Avançado,37264
2013,9,Branca,LP,B,Sim,1217798,Nordeste,180604,Feminino,652504,EB incompleta,218496,180166.0,400290,Sim,79098,604342,1033268,354506,572684,756214,291180,919950,41164,63880,224716,Sim,1031360,Não,276790,Não,387028,Proficiente,172036
2013,9,Branca,LP,C,-,0,Centro-Oeste,621818,-,0,EB incompleta,186430,182440.0,95906,Sim,476568,258700,171624,467740,183580,357458,31126,124684,8716,80112,87064,0,0,Não,229086,Não,111912,Básico,304177
2013,9,Branca,LP,D,-,0,Sudeste,322312,-,0,EB completa,349242,287294.0,0,Sim,512146,86208,17754,257280,39902,91572,5674,8784,0,0,0,0,0,Não,492458,Não,82290,Insuficiente,112982
2013,9,Branca,LP,E,-,0,Sul,75468,-,0,EB completa,146010,111150.0,0,Sim,165606,37914,4588,120296,18010,30418,4072,2282,0,0,0,0,0,0,47506,Sim,208038,-,0
2013,9,Branca,LP,F,-,0,-,0,-,0,ES completo,182154,301792.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,9,Indígena,LP,*,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,9,Indígena,LP,.,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,9,Indígena,LP,A,Não,1396,Norte,7906,Masculino,39042,EB incompleta,14040,12722.0,47180,Não,1116,32452,2334,2806,48552,2186,65606,25310,76816,71726,52592,Não,15384,Sim,17192,Não,27702,Avançado,969
2013,9,Indígena,LP,B,Sim,83822,Nordeste,29744,Feminino,44716,EB incompleta,16040,11990.0,28066,Sim,7850,36394,68684,31288,26872,56958,16128,51776,4906,4162,21108,Sim,66522,Não,18450,Não,25226,Proficiente,7857
2013,9,Indígena,LP,C,-,0,Centro-Oeste,33408,-,0,EB incompleta,11898,11270.0,7414,Sim,33600,10686,10320,29158,6432,19574,1570,6402,1232,6440,9178,0,0,Não,13188,Não,8498,Básico,23246
2013,9,Indígena,LP,D,-,0,Sudeste,7432,-,0,EB completa,19534,14520.0,0,Sim,29500,3132,1146,12474,1550,3902,390,618,0,0,0,0,0,Não,28034,Não,7596,Insuficiente,10222
2013,9,Indígena,LP,E,-,0,Sul,6728,-,0,EB completa,6520,5062.0,0,Sim,11362,1578,496,5582,1050,1404,460,332,0,0,0,0,0,0,6322,Sim,12988,-,0
2013,9,Indígena,LP,F,-,0,-,0,-,0,ES completo,12366,22484.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,9,Parda,LP,*,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,9,Parda,LP,.,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,9,Parda,LP,A,Não,6158,Norte,28540,Masculino,229680,EB incompleta,63012,56944.0,237028,Não,4038,143410,7250,11774,246678,6354,327100,110590,384416,366284,250800,Não,78254,Sim,81600,Não,150230,Avançado,4896
2013,9,Parda,LP,B,Sim,417430,Nordeste,123426,Feminino,184662,EB incompleta,75354,54480.0,139262,Sim,42044,198060,348398,146388,132820,293836,81490,271302,21968,17050,109718,Sim,329654,Não,90542,Não,122132,Proficiente,34762
2013,9,Parda,LP,C,-,0,Centro-Oeste,203956,-,0,EB incompleta,59374,55460.0,34834,Sim,173374,56374,52224,153834,30180,94272,7006,34156,5202,26406,50918,0,0,Não,65858,Não,35148,Básico,110267
2013,9,Parda,LP,D,-,0,Sudeste,34904,-,0,EB completa,102582,74834.0,0,Sim,144392,15018,5968,69040,6622,18052,1540,2968,0,0,0,0,0,Não,149304,Não,31796,Insuficiente,60766
2013,9,Parda,LP,E,-,0,Sul,32762,-,0,EB completa,32784,23484.0,0,Sim,50550,6346,1798,28070,3932,5566,1328,1042,0,0,0,0,0,0,25428,Sim,68306,-,0
2013,9,Parda,LP,F,-,0,-,0,-,0,ES completo,70726,125822.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,9,Preta,LP,*,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,9,Preta,LP,.,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,9,Preta,LP,A,Não,29894,Norte,202478,Masculino,825768,EB incompleta,272806,258876.0,1046144,Não,10982,637224,28314,43332,968460,21976,1402190,489214,1652464,1568078,1193564,Não,285652,Sim,355550,Não,614412,Avançado,29597
2013,9,Preta,LP,B,Sim,1765438,Nordeste,531080,Feminino,938020,EB incompleta,338004,261480.0,577834,Sim,154498,819228,1496574,667194,625920,1222148,334260,1147428,82034,65826,399922,Sim,1444914,Não,417674,Não,543468,Proficiente,182137
2013,9,Preta,LP,C,-,0,Centro-Oeste,748014,-,0,EB incompleta,259320,241848.0,121456,Sim,729926,235150,199972,637206,143740,422594,28818,133422,18016,105938,158370,0,0,Não,294342,Não,164880,Básico,477782
2013,9,Preta,LP,D,-,0,Sudeste,160622,-,0,EB completa,435308,318880.0,0,Sim,653318,63240,19748,265460,30582,81972,6216,9860,0,0,0,0,0,Não,581548,Não,133074,Insuficiente,203119
2013,9,Preta,LP,E,-,0,Sul,153138,-,0,EB completa,138208,97734.0,0,Sim,212572,23660,4640,99476,13824,23746,4156,2172,0,0,0,0,0,0,104696,Sim,272256,-,0
